@relation 'infection-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 60-weka.filters.unsupervised.attribute.NumericToBinary'

@attribute CLCN4 numeric
@attribute MRPL42_binarized {0,1}
@attribute PDK4_binarized {0,1}
@attribute RAI2_binarized {0,1}
@attribute UST_binarized {0,1}
@attribute CHEK2_binarized {0,1}
@attribute TBC1D2B_binarized {0,1}
@attribute CD101_binarized {0,1}
@attribute PHACTR2_binarized {0,1}
@attribute MTX1_binarized {0,1}
@attribute IDH2_binarized {0,1}
@attribute WFS1_binarized {0,1}
@attribute ILF2_binarized {0,1}
@attribute CXCL3_binarized {0,1}
@attribute MLF1IP_binarized {0,1}
@attribute ARAP1_binarized {0,1}
@attribute NAPG_binarized {0,1}
@attribute B3GNT3_binarized {0,1}
@attribute GLRX3_binarized {0,1}
@attribute CD34_binarized {0,1}
@attribute LDB2_binarized {0,1}
@attribute ZBTB20_binarized {0,1}
@attribute LRRN3_binarized {0,1}
@attribute AV700891_binarized {0,1}
@attribute FXYD6_binarized {0,1}
@attribute LPHN3_binarized {0,1}
@attribute ODAM_binarized {0,1}
@attribute CXCL13_binarized {0,1}
@attribute CNN1_binarized {0,1}
@attribute HIGD1B_binarized {0,1}
@attribute GPM6A_binarized {0,1}
@attribute TARP_binarized {0,1}
@attribute INPP5B_binarized {0,1}
@attribute FGD6_binarized {0,1}
@attribute BCHE_binarized {0,1}
@attribute C1ORF38_binarized {0,1}
@attribute BMP5_binarized {0,1}
@attribute NHP2_binarized {0,1}
@attribute CEP55_binarized {0,1}
@attribute ATP1A2_binarized {0,1}
@attribute AQP1_binarized {0,1}
@attribute ARHGAP6_binarized {0,1}
@attribute ATP2A2_binarized {0,1}
@attribute EFEMP2_binarized {0,1}
@attribute GJA4_binarized {0,1}
@attribute RELN_binarized {0,1}
@attribute ZBTB16_binarized {0,1}
@attribute MSR1_binarized {0,1}
@attribute SEC22B_binarized {0,1}
@attribute FUT3_binarized {0,1}
@attribute STRA13_binarized {0,1}
@attribute GAB2_binarized {0,1}
@attribute TSPAN7_binarized {0,1}
@attribute CADM1_binarized {0,1}
@attribute SLC5A6_binarized {0,1}
@attribute STX12_binarized {0,1}
@attribute TNFSF12_binarized {0,1}
@attribute DNAJB4_binarized {0,1}
@attribute ZMIZ1_binarized {0,1}
@attribute KAZ_binarized {0,1}
@attribute class {Control,Infected}

@data
1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,Infected
1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,Infected
1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,Infected
1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,Infected
1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,Infected
1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,Infected
1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,Infected
1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,Infected
1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,Infected
1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,Infected
1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,Infected
1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,Infected
1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,Infected
1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,Infected
1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,Infected
1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,Infected
1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,Infected
1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,Infected
